stock,timestamp,open,high,low,close,volume
COALINDIA,2012-03-30,333.9000,349.7000,0.0000,343.9000,62831206
COALINDIA,2012-02-29,327.0000,343.9500,315.7000,334.5000,101387276
COALINDIA,2012-01-31,303.0000,358.3000,0.0000,327.2000,94228818
COALINDIA,2011-12-30,335.2000,338.3500,293.6000,300.6500,63963164
COALINDIA,2011-11-30,330.7000,332.4500,294.6000,327.1500,68409291
COALINDIA,2011-10-31,330.0000,349.1500,314.5500,332.0000,115864897
COALINDIA,2011-09-30,383.0000,393.4500,325.1500,333.2000,68329400
COALINDIA,2011-08-30,391.5000,406.5000,357.0000,375.6000,77411448
COALINDIA,2011-07-29,392.8500,408.7000,299.0000,388.2500,80919016
COALINDIA,2011-06-30,415.0000,416.6000,375.0000,392.8500,53635599
COALINDIA,2011-05-31,362.0000,422.3500,359.2500,408.4500,92425354
COALINDIA,2011-04-29,347.0000,383.3000,342.6000,380.5500,51982040
COALINDIA,2011-03-31,325.0000,371.4000,318.4000,346.5000,76406819
COALINDIA,2011-02-28,305.5000,331.7500,289.0000,327.7000,71900689
COALINDIA,2011-01-31,315.5000,320.0000,300.5500,304.3500,59384163
COALINDIA,2010-12-31,317.0000,331.0000,301.0000,314.7500,96830444
COALINDIA,timestamp,open,high,low,close,volume
VEDL,2018-08-31,219.8000,238.2500,205.3500,227.7000,289874397
VEDL,2018-07-31,234.7500,243.8000,200.6500,222.2000,246168696
VEDL,2018-06-29,248.0000,258.4000,221.6000,236.2000,347949002
VEDL,2018-05-31,296.6500,296.6500,237.9000,248.3000,309866665
VEDL,2018-04-30,284.0000,313.5000,271.5000,298.4000,254001275
VEDL,2018-03-28,327.2000,333.6500,268.7500,277.8500,227846035
VEDL,2018-02-28,340.0000,346.2000,305.1500,329.7500,216391409
VEDL,2018-01-31,331.0000,355.7000,318.7000,340.3500,194846860
VEDL,2017-12-29,297.4500,335.5000,277.6500,329.9000,215356057
VEDL,2017-11-30,334.7500,346.4000,294.0000,295.4500,147508126
VEDL,2017-10-31,318.1000,345.2000,310.1500,331.8500,153413600
VEDL,2017-09-29,310.0500,334.6500,297.0000,314.2500,222430430
VEDL,2017-08-31,280.9000,310.2500,276.6000,308.9000,232200328
VEDL,2017-07-31,251.0000,283.7000,250.4000,279.8500,192061773
VEDL,2017-06-30,239.8500,252.6500,226.5000,249.0500,236266698
VEDL,2017-05-31,246.6000,248.4500,217.7500,238.6500,323487200
VEDL,2017-04-28,276.1000,277.5000,226.5000,243.5500,226365181
VEDL,2017-03-31,261.0000,278.1000,247.2500,274.9500,254401555
VEDL,2017-02-28,254.9000,274.6000,242.8500,259.1000,197300454
VEDL,2017-01-31,216.4500,261.8000,214.5000,253.1000,197909725
VEDL,2016-12-30,233.0500,248.6500,204.8000,216.1500,220842201
VEDL,2016-11-30,204.9500,233.7000,192.2000,229.8500,359526620
VEDL,2016-10-28,173.8500,208.5500,173.2000,202.6000,224927675
VEDL,2016-09-30,169.3500,180.8000,158.5000,172.0500,211831798
VEDL,2016-08-31,163.1000,180.6500,153.7000,170.0000,233998942
VEDL,2016-07-29,132.9500,175.5000,132.4500,164.6500,407299027
VEDL,2016-06-30,109.0000,133.0000,103.3500,131.9500,323464695
VEDL,2016-05-31,102.5000,113.9500,94.0500,108.5500,359191733
VEDL,2016-04-29,89.7500,108.9000,84.8000,103.8000,331931078
VEDL,2016-03-31,71.9000,98.2000,70.6000,89.8500,478762869
VEDL,2016-02-29,72.7000,77.7000,58.1500,70.6000,474537482
VEDL,2016-01-29,90.9000,93.9000,62.0000,71.7500,411756157
